asof_dt,Name,Sector,ret,w_p,w_bm
1/1/2014,AT&T,Telecommunicatons,0.07550,0.04290,0.03370
1/1/2014,VERIZON COMM,Telecommunicatons,0.03850,0.14360,0.24110
1/2/2014,GENERAL MOTORS,Consumer Discretionary,0.02860,0.03720,0.04050
1/2/2014,HOME DEPOT,Consumer Discretionary,0.03060,0.03990,0.03450
1/2/2014,MCDONALD'S,Consumer Discretionary,0.00660,0.01280,0.03620
1/2/2014,WALMART,Consumer Discretionary,0.09920,0.02130,0.03470
1/2/2014,DISNEY (WALT),Consumer Discretionary,0.08290,0.02030,0.05480
1/2/2014,COCA-COLA,Consumer Staples,-0.04330,0.00000,0.02830
1/2/2014,KRAFT FOODS,Consumer Staples,0.06030,0.05760,0.04050
1/2/2014,PROCTER & GAMBLE,Consumer Staples,0.03360,0.02050,0.05710
1/2/2014,CHEVRON,Energy,0.05690,0.00580,0.01230
1/2/2014,EXXONMOBIL,Energy,-0.07560,0.03650,0.03490
1/2/2014,AMER EXPRESS,Financials,0.04300,0.01020,0.04700
1/2/2014,BANK OF AMERICA,Financials,0.09890,0.02000,0.02330
1/2/2014,CITIGROUP,Financials,-0.06960,0.05050,0.02440
1/2/2014,JPMORGAN CHASE & CO,Financials,0.01730,0.05330,0.00340
1/2/2014,JOHNSON & JOHNSON,Health Care,0.01450,0.01720,0.05370
1/2/2014,MERCK & CO.,Health Care,-0.02290,0.00640,0.01260
1/2/2014,PFIZER,Health Care,0.01530,0.05090,0.03380
1/2/2014,3M COMPANY,Industrials,0.07830,0.03280,0.00990
1/2/2014,BOEING,Industrials,-0.00880,0.03490,0.00140
1/2/2014,CATERPILLAR,Industrials,0.08250,0.00480,0.01710
1/2/2014,GENERAL ELECTRIC,Industrials,0.07990,0.05030,0.04930
1/2/2014,UNITED TECHNOLOGIES,Industrials,-0.02240,0.00730,0.03950
1/2/2014,HEWLETT-PACKARD,Information Technology,0.00890,0.04290,0.00180
1/2/2014,INTEL,Information Technology,-0.07610,0.03200,0.00710
1/2/2014,INT'L BUSINESS MACH,Information Technology,-0.03910,0.05030,0.03700
1/2/2014,MICROSOFT,Information Technology,0.02690,0.00700,0.02370
1/2/2014,ALCOA,Materials,0.07320,0.04830,0.04930
1/2/2014,DUPONT,Materials,0.08930,0.01220,0.00070
1/2/2014,AT&T,Telecommunicatons,-0.03720,0.00060,0.01340
1/2/2014,VERIZON COMM,Telecommunicatons,0.00150,0.21630,0.17780
1/3/2014,GENERAL MOTORS,Consumer Discretionary,0.04630,0.03720,0.03910
1/3/2014,HOME DEPOT,Consumer Discretionary,0.04410,0.00900,0.03470
1/3/2014,MCDONALD'S,Consumer Discretionary,0.06100,0.02000,0.02520
1/3/2014,WALMART,Consumer Discretionary,-0.06840,0.00870,0.03450
1/3/2014,DISNEY (WALT),Consumer Discretionary,0.02790,0.05660,0.05720
1/3/2014,COCA-COLA,Consumer Staples,-0.03370,0.05160,0.05640
1/3/2014,KRAFT FOODS,Consumer Staples,-0.03950,0.02350,0.05500
1/3/2014,PROCTER & GAMBLE,Consumer Staples,0.06050,0.04500,0.01270
1/3/2014,CHEVRON,Energy,0.05460,0.02150,0.04070
1/3/2014,EXXONMOBIL,Energy,0.06310,0.00420,0.02290
1/3/2014,AMER EXPRESS,Financials,-0.06810,0.01290,0.01070
1/3/2014,BANK OF AMERICA,Financials,0.01400,0.02150,0.04310
1/3/2014,CITIGROUP,Financials,0.05670,0.05250,0.03210
1/3/2014,JPMORGAN CHASE & CO,Financials,-0.02980,0.05810,0.01290
1/3/2014,JOHNSON & JOHNSON,Health Care,-0.06090,0.00620,0.05440
1/3/2014,MERCK & CO.,Health Care,0.01670,0.03240,0.01390
1/3/2014,PFIZER,Health Care,-0.01470,0.01590,0.00370
1/3/2014,3M COMPANY,Industrials,-0.07470,0.03650,0.00100
1/3/2014,BOEING,Industrials,-0.03730,0.00970,0.05710
1/3/2014,CATERPILLAR,Industrials,0.07710,0.01520,0.02420
1/3/2014,GENERAL ELECTRIC,Industrials,0.03000,0.05850,0.05280
1/3/2014,UNITED TECHNOLOGIES,Industrials,-0.06530,0.03370,0.00080
1/3/2014,HEWLETT-PACKARD,Information Technology,-0.06430,0.03560,0.05290
1/3/2014,INTEL,Information Technology,0.02490,0.00150,0.00170
1/3/2014,INT'L BUSINESS MACH,Information Technology,-0.08090,0.02330,0.03160
1/3/2014,MICROSOFT,Information Technology,-0.08860,0.03610,0.02150
1/3/2014,ALCOA,Materials,0.03210,0.00310,0.00870
1/3/2014,DUPONT,Materials,-0.09610,0.02330,0.01350
1/3/2014,AT&T,Telecommunicatons,0.06850,0.02880,0.04400
1/3/2014,VERIZON COMM,Telecommunicatons,0.05660,0.21800,0.14100
1/4/2014,GENERAL MOTORS,Consumer Discretionary,0.08000,0.05110,0.03700
1/4/2014,HOME DEPOT,Consumer Discretionary,0.08740,0.02670,0.00950
1/4/2014,MCDONALD'S,Consumer Discretionary,0.07380,0.01210,0.05450
1/4/2014,WALMART,Consumer Discretionary,-0.00550,0.01150,0.05820
1/4/2014,DISNEY (WALT),Consumer Discretionary,-0.07740,0.02190,0.05820
1/4/2014,COCA-COLA,Consumer Staples,-0.01840,0.00760,0.03560
1/4/2014,KRAFT FOODS,Consumer Staples,-0.08530,0.00520,0.05300
1/4/2014,PROCTER & GAMBLE,Consumer Staples,0.04700,0.04500,0.03650
1/4/2014,CHEVRON,Energy,0.01570,0.01900,0.02150
1/4/2014,EXXONMOBIL,Energy,-0.03740,0.03480,0.01680
1/4/2014,AMER EXPRESS,Financials,-0.08780,0.02810,0.01210
1/4/2014,BANK OF AMERICA,Financials,-0.06370,0.03800,0.04690
1/4/2014,CITIGROUP,Financials,-0.02200,0.04090,0.02290
1/4/2014,JPMORGAN CHASE & CO,Financials,0.07450,0.04750,0.01380
1/4/2014,JOHNSON & JOHNSON,Health Care,-0.04450,0.01100,0.02030
1/4/2014,MERCK & CO.,Health Care,-0.00220,0.04510,0.01410
1/4/2014,PFIZER,Health Care,-0.04790,0.01470,0.02850
1/4/2014,3M COMPANY,Industrials,-0.04880,0.00080,0.05560
1/4/2014,BOEING,Industrials,0.02540,0.02150,0.04530
1/4/2014,CATERPILLAR,Industrials,0.07310,0.03630,0.01020
1/4/2014,GENERAL ELECTRIC,Industrials,0.07200,0.01520,0.04110
1/4/2014,UNITED TECHNOLOGIES,Industrials,-0.08170,0.01600,0.05400
1/4/2014,HEWLETT-PACKARD,Information Technology,0.09950,0.02030,0.00380
1/4/2014,INTEL,Information Technology,0.04600,0.04050,0.05160
1/4/2014,INT'L BUSINESS MACH,Information Technology,-0.01960,0.04210,0.04640
1/4/2014,MICROSOFT,Information Technology,-0.06680,0.01730,0.00140
1/4/2014,ALCOA,Materials,0.04900,0.04500,0.00910
1/4/2014,DUPONT,Materials,0.02000,0.00290,0.04460
1/4/2014,AT&T,Telecommunicatons,-0.01140,0.05470,0.00150
1/4/2014,VERIZON COMM,Telecommunicatons,0.02160,0.22730,0.09600
1/5/2014,GENERAL MOTORS,Consumer Discretionary,-0.02420,0.00880,0.02400
1/5/2014,HOME DEPOT,Consumer Discretionary,-0.02400,0.03670,0.03330
1/5/2014,MCDONALD'S,Consumer Discretionary,-0.00810,0.04470,0.03280
1/5/2014,WALMART,Consumer Discretionary,-0.02280,0.05750,0.02100
1/5/2014,DISNEY (WALT),Consumer Discretionary,0.00580,0.00970,0.00200
1/5/2014,COCA-COLA,Consumer Staples,-0.05500,0.03890,0.01410
1/5/2014,KRAFT FOODS,Consumer Staples,-0.03440,0.05360,0.01360
1/5/2014,PROCTER & GAMBLE,Consumer Staples,0.08880,0.03080,0.01660
1/5/2014,CHEVRON,Energy,-0.09770,0.04050,0.03800
1/5/2014,EXXONMOBIL,Energy,0.03840,0.05780,0.04400
1/5/2014,AMER EXPRESS,Financials,-0.08960,0.04190,0.03030
1/5/2014,BANK OF AMERICA,Financials,-0.05770,0.04230,0.02900
1/5/2014,CITIGROUP,Financials,0.02910,0.03910,0.01950
1/5/2014,JPMORGAN CHASE & CO,Financials,0.09700,0.05520,0.05310
1/5/2014,JOHNSON & JOHNSON,Health Care,-0.08090,0.05190,0.03090
1/5/2014,MERCK & CO.,Health Care,-0.07980,0.01590,0.00530
1/5/2014,PFIZER,Health Care,-0.03060,0.02000,0.00390
1/5/2014,3M COMPANY,Industrials,-0.04720,0.02920,0.03900
1/5/2014,BOEING,Industrials,-0.09670,0.05220,0.03940
1/5/2014,CATERPILLAR,Industrials,-0.06420,0.03920,0.00100
1/5/2014,GENERAL ELECTRIC,Industrials,0.06460,0.00120,0.02390
1/5/2014,UNITED TECHNOLOGIES,Industrials,-0.06720,0.02040,0.02480
1/5/2014,HEWLETT-PACKARD,Information Technology,-0.02810,0.00090,0.04510
1/5/2014,INTEL,Information Technology,0.09160,0.05360,0.00710
1/5/2014,INT'L BUSINESS MACH,Information Technology,0.04740,0.00610,0.01720
1/5/2014,MICROSOFT,Information Technology,-0.03470,0.02310,0.05180
1/5/2014,ALCOA,Materials,0.08460,0.00440,0.04600
1/5/2014,DUPONT,Materials,-0.09150,0.04130,0.05160
1/5/2014,AT&T,Telecommunicatons,0.07880,0.00070,0.01130
1/5/2014,VERIZON COMM,Telecommunicatons,0.05880,0.08220,0.23040
1/6/2014,GENERAL MOTORS,Consumer Discretionary,0.00760,0.04990,0.05300
1/6/2014,HOME DEPOT,Consumer Discretionary,0.08950,0.00010,0.00660
1/6/2014,MCDONALD'S,Consumer Discretionary,-0.08090,0.00580,0.00150
1/6/2014,WALMART,Consumer Discretionary,-0.02310,0.00550,0.05820
1/6/2014,DISNEY (WALT),Consumer Discretionary,0.05630,0.00640,0.03030
1/6/2014,COCA-COLA,Consumer Staples,-0.08030,0.05690,0.00770
1/6/2014,KRAFT FOODS,Consumer Staples,-0.07870,0.00240,0.05560
1/6/2014,PROCTER & GAMBLE,Consumer Staples,0.07650,0.05750,0.04370
1/6/2014,CHEVRON,Energy,0.04400,0.03860,0.02610
1/6/2014,EXXONMOBIL,Energy,0.03890,0.00260,0.00600
1/6/2014,AMER EXPRESS,Financials,0.04080,0.04580,0.04020
1/6/2014,BANK OF AMERICA,Financials,0.05760,0.01920,0.02000
1/6/2014,CITIGROUP,Financials,0.09600,0.05790,0.00710
1/6/2014,JPMORGAN CHASE & CO,Financials,0.05310,0.05710,0.02060
1/6/2014,JOHNSON & JOHNSON,Health Care,0.02440,0.01000,0.03700
1/6/2014,MERCK & CO.,Health Care,0.08930,0.05320,0.01510
1/6/2014,PFIZER,Health Care,-0.03020,0.00940,0.05740
1/6/2014,3M COMPANY,Industrials,-0.07820,0.05360,0.01020
1/6/2014,BOEING,Industrials,0.08280,0.03130,0.04560
1/6/2014,CATERPILLAR,Industrials,0.09750,0.01490,0.04280
1/6/2014,GENERAL ELECTRIC,Industrials,0.04660,0.02470,0.00900
1/6/2014,UNITED TECHNOLOGIES,Industrials,0.08440,0.04910,0.02980
1/6/2014,HEWLETT-PACKARD,Information Technology,-0.09700,0.04130,0.03680
1/6/2014,INTEL,Information Technology,0.03730,0.04440,0.01340
1/6/2014,INT'L BUSINESS MACH,Information Technology,-0.05310,0.05440,0.04130
1/6/2014,MICROSOFT,Information Technology,-0.05020,0.04000,0.04700
1/6/2014,ALCOA,Materials,0.02350,0.03340,0.01250
1/6/2014,DUPONT,Materials,-0.08570,0.04040,0.05110
1/6/2014,AT&T,Telecommunicatons,-0.06200,0.01850,0.05380
1/6/2014,VERIZON COMM,Telecommunicatons,-0.07920,0.07560,0.12100
1/7/2014,GENERAL MOTORS,Consumer Discretionary,0.07660,0.03850,0.02310
1/7/2014,HOME DEPOT,Consumer Discretionary,0.03140,0.02230,0.05610
1/7/2014,MCDONALD'S,Consumer Discretionary,0.09240,0.05620,0.03830
1/7/2014,WALMART,Consumer Discretionary,-0.07380,0.00330,0.01150
1/7/2014,DISNEY (WALT),Consumer Discretionary,0.06540,0.02010,0.03410
1/7/2014,COCA-COLA,Consumer Staples,-0.07050,0.02360,0.05280
1/7/2014,KRAFT FOODS,Consumer Staples,0.02280,0.03740,0.01000
1/7/2014,PROCTER & GAMBLE,Consumer Staples,0.02290,0.04730,0.03370
1/7/2014,CHEVRON,Energy,-0.00770,0.01810,0.05710
1/7/2014,EXXONMOBIL,Energy,0.03310,0.00630,0.05840
1/7/2014,AMER EXPRESS,Financials,-0.01790,0.00800,0.05480
1/7/2014,BANK OF AMERICA,Financials,-0.09800,0.01780,0.00560
1/7/2014,CITIGROUP,Financials,0.07700,0.04610,0.05380
1/7/2014,JPMORGAN CHASE & CO,Financials,0.00190,0.04360,0.04670
1/7/2014,JOHNSON & JOHNSON,Health Care,-0.08040,0.03240,0.05390
1/7/2014,MERCK & CO.,Health Care,-0.06990,0.00510,0.00740
1/7/2014,PFIZER,Health Care,-0.03000,0.01050,0.02900
1/7/2014,3M COMPANY,Industrials,0.07890,0.05270,0.01830
1/7/2014,BOEING,Industrials,0.06230,0.04830,0.03270
1/7/2014,CATERPILLAR,Industrials,0.03480,0.05390,0.02080
1/7/2014,GENERAL ELECTRIC,Industrials,0.02770,0.01420,0.05750
1/7/2014,UNITED TECHNOLOGIES,Industrials,0.08880,0.01130,0.02850
1/7/2014,HEWLETT-PACKARD,Information Technology,-0.00320,0.00820,0.03910
1/7/2014,INTEL,Information Technology,-0.01150,0.02560,0.03990
1/7/2014,INT'L BUSINESS MACH,Information Technology,-0.01870,0.00370,0.03240
1/7/2014,MICROSOFT,Information Technology,0.08080,0.01290,0.00450
1/7/2014,ALCOA,Materials,-0.01150,0.01910,0.02880
1/7/2014,DUPONT,Materials,0.00190,0.02390,0.03050
1/7/2014,AT&T,Telecommunicatons,0.03290,0.00430,0.04190
1/7/2014,VERIZON COMM,Telecommunicatons,0.05730,0.28530,-0.00130
1/8/2014,GENERAL MOTORS,Consumer Discretionary,0.06360,0.00750,0.01940
1/8/2014,HOME DEPOT,Consumer Discretionary,0.03480,0.00750,0.02480
1/8/2014,MCDONALD'S,Consumer Discretionary,-0.02710,0.04220,0.03210
1/8/2014,WALMART,Consumer Discretionary,0.04190,0.01520,0.04050
1/8/2014,DISNEY (WALT),Consumer Discretionary,0.00340,0.05730,0.03660
1/8/2014,COCA-COLA,Consumer Staples,0.06660,0.04630,0.04070
1/8/2014,KRAFT FOODS,Consumer Staples,-0.02670,0.00740,0.03070
1/8/2014,PROCTER & GAMBLE,Consumer Staples,0.06430,0.02870,0.01360
1/8/2014,CHEVRON,Energy,0.02840,0.04200,0.02060
1/8/2014,EXXONMOBIL,Energy,-0.05870,0.03790,0.05780
1/8/2014,AMER EXPRESS,Financials,-0.03160,0.05700,0.04130
1/8/2014,BANK OF AMERICA,Financials,-0.08170,0.05640,0.03510
1/8/2014,CITIGROUP,Financials,-0.06170,0.02080,0.01010
1/8/2014,JPMORGAN CHASE & CO,Financials,-0.02990,0.04970,0.02030
1/8/2014,JOHNSON & JOHNSON,Health Care,0.01130,0.03680,0.00440
1/8/2014,MERCK & CO.,Health Care,0.00620,0.03670,0.02350
1/8/2014,PFIZER,Health Care,0.07600,0.03300,0.02800
1/8/2014,3M COMPANY,Industrials,-0.05650,0.00780,0.05870
1/8/2014,BOEING,Industrials,0.05410,0.03160,0.02720
1/8/2014,CATERPILLAR,Industrials,-0.00410,0.00700,0.01060
1/8/2014,GENERAL ELECTRIC,Industrials,0.05750,0.03120,0.04150
1/8/2014,UNITED TECHNOLOGIES,Industrials,-0.00710,0.04210,0.05280
1/8/2014,HEWLETT-PACKARD,Information Technology,0.02090,0.00230,0.00970
1/8/2014,INTEL,Information Technology,0.02760,0.01870,0.04990
1/8/2014,INT'L BUSINESS MACH,Information Technology,-0.07670,0.05340,0.03140
1/8/2014,MICROSOFT,Information Technology,-0.03120,0.02290,0.01910
1/8/2014,ALCOA,Materials,0.00370,0.04580,0.04780
1/8/2014,DUPONT,Materials,0.09310,0.01330,0.04630
1/8/2014,AT&T,Telecommunicatons,-0.09480,0.04800,0.03970
1/8/2014,VERIZON COMM,Telecommunicatons,-0.03410,0.09340,0.08600
1/9/2014,GENERAL MOTORS,Consumer Discretionary,-0.06270,0.02940,0.05570
1/9/2014,HOME DEPOT,Consumer Discretionary,-0.02640,0.03990,0.04100
1/9/2014,MCDONALD'S,Consumer Discretionary,0.09350,0.05750,0.05810
1/9/2014,WALMART,Consumer Discretionary,0.02970,0.04270,0.04890
1/9/2014,DISNEY (WALT),Consumer Discretionary,-0.00220,0.02320,0.05750
1/9/2014,COCA-COLA,Consumer Staples,-0.04920,0.03560,0.01330
1/9/2014,KRAFT FOODS,Consumer Staples,-0.09310,0.00270,0.03360
1/9/2014,PROCTER & GAMBLE,Consumer Staples,0.06250,0.03090,0.00650
1/9/2014,CHEVRON,Energy,0.03090,0.01860,0.04020
1/9/2014,EXXONMOBIL,Energy,-0.09830,0.00770,0.00740
1/9/2014,AMER EXPRESS,Financials,-0.04320,0.01120,0.04390
1/9/2014,BANK OF AMERICA,Financials,-0.05110,0.00300,0.02460
1/9/2014,CITIGROUP,Financials,-0.01070,0.00140,0.01180
1/9/2014,JPMORGAN CHASE & CO,Financials,-0.09250,0.03110,0.00520
1/9/2014,JOHNSON & JOHNSON,Health Care,-0.09800,0.03240,0.01640
1/9/2014,MERCK & CO.,Health Care,-0.09240,0.05430,0.04410
1/9/2014,PFIZER,Health Care,0.09590,0.00750,0.00200
1/9/2014,3M COMPANY,Industrials,-0.05200,0.00110,0.05410
1/9/2014,BOEING,Industrials,0.04390,0.05600,0.04900
1/9/2014,CATERPILLAR,Industrials,0.00460,0.04090,0.03200
1/9/2014,GENERAL ELECTRIC,Industrials,-0.07040,0.03930,0.05010
1/9/2014,UNITED TECHNOLOGIES,Industrials,-0.02810,0.05050,0.03300
1/9/2014,HEWLETT-PACKARD,Information Technology,-0.02800,0.02570,0.01450
1/9/2014,INTEL,Information Technology,-0.01190,0.04550,0.00740
1/9/2014,INT'L BUSINESS MACH,Information Technology,0.00650,0.03170,0.04190
1/9/2014,MICROSOFT,Information Technology,-0.00160,0.04170,0.03100
1/9/2014,ALCOA,Materials,0.04340,0.01080,0.02390
1/9/2014,DUPONT,Materials,-0.05710,0.00460,0.02180
1/9/2014,AT&T,Telecommunicatons,-0.01950,0.03320,0.03520
1/9/2014,VERIZON COMM,Telecommunicatons,0.06340,0.19000,0.09610
1/10/2014,GENERAL MOTORS,Consumer Discretionary,-0.07810,0.03070,0.05350
1/10/2014,HOME DEPOT,Consumer Discretionary,0.08830,0.05100,0.02330
1/10/2014,MCDONALD'S,Consumer Discretionary,0.03980,0.05280,0.01840
1/10/2014,WALMART,Consumer Discretionary,0.00380,0.02350,0.02800
1/10/2014,DISNEY (WALT),Consumer Discretionary,-0.08200,0.04830,0.05060
1/10/2014,COCA-COLA,Consumer Staples,0.00780,0.00850,0.05270
1/10/2014,KRAFT FOODS,Consumer Staples,-0.00450,0.04550,0.02650
1/10/2014,PROCTER & GAMBLE,Consumer Staples,0.04330,0.00390,0.05000
1/10/2014,CHEVRON,Energy,-0.05040,0.03920,0.05240
1/10/2014,EXXONMOBIL,Energy,-0.06630,0.02390,0.05570
1/10/2014,AMER EXPRESS,Financials,-0.05200,0.02480,0.01330
1/10/2014,BANK OF AMERICA,Financials,-0.01560,0.05040,0.01030
1/10/2014,CITIGROUP,Financials,0.05160,0.01300,0.02960
1/10/2014,JPMORGAN CHASE & CO,Financials,-0.03760,0.00440,0.01710
1/10/2014,JOHNSON & JOHNSON,Health Care,0.04240,0.05220,0.01850
1/10/2014,MERCK & CO.,Health Care,-0.05760,0.00920,0.01090
1/10/2014,PFIZER,Health Care,0.06890,0.05810,0.05580
1/10/2014,3M COMPANY,Industrials,-0.04370,0.05300,0.00660
1/10/2014,BOEING,Industrials,0.08070,0.00600,0.01680
1/10/2014,CATERPILLAR,Industrials,0.00420,0.05180,0.00590
1/10/2014,GENERAL ELECTRIC,Industrials,0.09020,0.02880,0.00920
1/10/2014,UNITED TECHNOLOGIES,Industrials,-0.03610,0.03250,0.04300
1/10/2014,HEWLETT-PACKARD,Information Technology,0.00210,0.03500,0.05760
1/10/2014,INTEL,Information Technology,0.09290,0.03440,0.04340
1/10/2014,INT'L BUSINESS MACH,Information Technology,0.09540,0.05400,0.01250
1/10/2014,MICROSOFT,Information Technology,-0.02570,0.04940,0.01820
1/10/2014,ALCOA,Materials,-0.06600,0.04180,0.01240
1/10/2014,DUPONT,Materials,0.04660,0.04960,0.00880
1/10/2014,AT&T,Telecommunicatons,0.04770,0.00190,0.04220
1/10/2014,VERIZON COMM,Telecommunicatons,0.09720,0.02260,0.15680
1/11/2014,GENERAL MOTORS,Consumer Discretionary,0.00440,0.05040,0.01230
1/11/2014,HOME DEPOT,Consumer Discretionary,0.04070,0.03120,0.00530
1/11/2014,MCDONALD'S,Consumer Discretionary,0.08830,0.01910,0.00100
1/11/2014,WALMART,Consumer Discretionary,-0.03140,0.00250,0.02580
1/11/2014,DISNEY (WALT),Consumer Discretionary,-0.03660,0.04260,0.00040
1/11/2014,COCA-COLA,Consumer Staples,0.07070,0.05080,0.03070
1/11/2014,KRAFT FOODS,Consumer Staples,0.09200,0.05370,0.00540
1/11/2014,PROCTER & GAMBLE,Consumer Staples,-0.03330,0.04400,0.04130
1/11/2014,CHEVRON,Energy,0.06420,0.02310,0.04650
1/11/2014,EXXONMOBIL,Energy,-0.05760,0.00910,0.03760
1/11/2014,AMER EXPRESS,Financials,-0.03750,0.02090,0.03190
1/11/2014,BANK OF AMERICA,Financials,-0.02060,0.02060,0.05400
1/11/2014,CITIGROUP,Financials,0.01350,0.02040,0.05790
1/11/2014,JPMORGAN CHASE & CO,Financials,0.09410,0.03240,0.05800
1/11/2014,JOHNSON & JOHNSON,Health Care,0.04120,0.02040,0.05310
1/11/2014,MERCK & CO.,Health Care,0.02500,0.00060,0.05010
1/11/2014,PFIZER,Health Care,-0.05210,0.03440,0.04960
1/11/2014,3M COMPANY,Industrials,0.04310,0.00120,0.05320
1/11/2014,BOEING,Industrials,-0.09860,0.01500,0.00260
1/11/2014,CATERPILLAR,Industrials,0.07020,0.05860,0.01510
1/11/2014,GENERAL ELECTRIC,Industrials,-0.02310,0.02010,0.01530
1/11/2014,UNITED TECHNOLOGIES,Industrials,-0.08460,0.02930,0.03810
1/11/2014,HEWLETT-PACKARD,Information Technology,-0.05400,0.03820,0.01990
1/11/2014,INTEL,Information Technology,0.05540,0.01800,0.04450
1/11/2014,INT'L BUSINESS MACH,Information Technology,0.03020,0.05050,0.00020
1/11/2014,MICROSOFT,Information Technology,0.08330,0.01380,0.04970
1/11/2014,ALCOA,Materials,0.06380,0.04240,0.03560
1/11/2014,DUPONT,Materials,-0.00960,0.04200,0.03110
1/11/2014,AT&T,Telecommunicatons,0.09660,0.04520,0.03790
1/11/2014,VERIZON COMM,Telecommunicatons,-0.05710,0.14940,0.09590
1/12/2014,GENERAL MOTORS,Consumer Discretionary,-0.07380,0.05070,0.03630
1/12/2014,HOME DEPOT,Consumer Discretionary,-0.06620,0.02680,0.04270
1/12/2014,MCDONALD'S,Consumer Discretionary,0.05190,0.03650,0.02060
1/12/2014,WALMART,Consumer Discretionary,0.02220,0.00900,0.00350
1/12/2014,DISNEY (WALT),Consumer Discretionary,0.06620,0.01650,0.02090
1/12/2014,COCA-COLA,Consumer Staples,0.00280,0.04930,0.03450
1/12/2014,KRAFT FOODS,Consumer Staples,0.07850,0.05030,0.02370
1/12/2014,PROCTER & GAMBLE,Consumer Staples,-0.08300,0.03410,0.04240
1/12/2014,CHEVRON,Energy,-0.07280,0.02660,0.01560
1/12/2014,EXXONMOBIL,Energy,0.07330,0.00160,0.01080
1/12/2014,AMER EXPRESS,Financials,0.06040,0.04230,0.00840
1/12/2014,BANK OF AMERICA,Financials,-0.08010,0.00220,0.03780
1/12/2014,CITIGROUP,Financials,0.03350,0.00810,0.03850
1/12/2014,JPMORGAN CHASE & CO,Financials,0.04800,0.00270,0.04000
1/12/2014,JOHNSON & JOHNSON,Health Care,0.09190,0.00150,0.02700
1/12/2014,MERCK & CO.,Health Care,0.05350,0.05070,0.05780
1/12/2014,PFIZER,Health Care,-0.06530,0.01590,0.00820
1/12/2014,3M COMPANY,Industrials,0.09990,0.03840,0.03070
1/12/2014,BOEING,Industrials,0.01040,0.05330,0.03930
1/12/2014,CATERPILLAR,Industrials,-0.09010,0.03370,0.04750
1/12/2014,GENERAL ELECTRIC,Industrials,-0.02420,0.00230,0.02890
1/12/2014,UNITED TECHNOLOGIES,Industrials,0.00760,0.00580,0.02260
1/12/2014,HEWLETT-PACKARD,Information Technology,-0.05340,0.02510,0.05520
1/12/2014,INTEL,Information Technology,-0.00750,0.02750,0.04160
1/12/2014,INT'L BUSINESS MACH,Information Technology,0.00070,0.00340,0.00380
1/12/2014,MICROSOFT,Information Technology,-0.05470,0.04160,0.00150
1/12/2014,ALCOA,Materials,0.01740,0.04000,0.00520
1/12/2014,DUPONT,Materials,0.06600,0.03060,0.02140
1/12/2014,AT&T,Telecommunicatons,0.04320,0.05740,0.03710
1/12/2014,VERIZON COMM,Telecommunicatons,0.06780,0.21600,0.19630
1/13/2014,GENERAL MOTORS,Consumer Discretionary,-0.03420,0.03190,0.00710
1/13/2014,HOME DEPOT,Consumer Discretionary,0.05140,0.01390,0.01700
1/13/2014,MCDONALD'S,Consumer Discretionary,0.05310,0.04100,0.00620
1/13/2014,WALMART,Consumer Discretionary,-0.07370,0.00060,0.02820
1/13/2014,DISNEY (WALT),Consumer Discretionary,0.03690,0.04440,0.03570
